id,title,budget,revenue,release_date,runtime,vote_average,vote_count,popularity,roi,release_year,release_month,release_quarter,release_day_of_week,is_summer,is_holiday,is_q1,genre_drama,genre_comedy,genre_thriller,genre_romance,genre_action,genre_horror,genre_crime,genre_documentary,genre_adventure,genre_science_fiction,genre_family,genre_mystery,genre_fantasy,genre_animation,genre_foreign,genre_count,cast_avg_roi,cast_avg_experience,num_top_actors,is_franchise,budget_log,budget_category,budget_micro,budget_low,budget_medium,budget_high,budget_blockbuster,runtime_category,runtime_short,runtime_standard,runtime_long,runtime_epic,popularity_quartile,popularity_q1,popularity_q2,popularity_q3,popularity_q4,vote_count_log,has_high_rating,years_since_release,is_recent
197,Braveheart,72000000,210000000,1995-05-24,177,7.7,3404,20.755149,191.67,1995,5,2,2,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,4.0,0.0,0.0,0.0,0,18.09217669086922,blockbuster,False,False,False,False,True,epic,False,False,False,True,q4,False,False,False,True,8.133000218583613,1,25,0
103,Taxi Driver,1300000,28262574,1976-02-07,114,8.1,2632,14.092713,2074.04,1976,2,1,5,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2.0,0.0,0.0,0.0,0,14.077875591662238,low,False,True,False,False,False,standard,False,True,False,False,q4,False,False,False,True,7.87587915949631,1,44,0
33542,Rumble in the Bronx,7500000,32392047,1995-01-30,91,6.5,245,12.314278,331.89,1995,1,1,0,0,0,1,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,4.0,0.0,0.0,0.0,0,15.830413711839864,medium,False,False,True,False,False,standard,False,True,False,False,q4,False,False,False,True,5.5053315359323625,0,25,0
78406,Steal Big Steal Little,25000000,6278139,1995-09-29,113,5.1,7,1.522412,-74.89,1995,9,3,4,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2.0,122.57333333333334,4.666666666666667,4.0,0,17.034386422832473,high,False,False,False,True,False,standard,False,True,False,False,q1,True,False,False,False,2.079441541679836,0,25,0
11066,Boomerang,40000000,70100000,1992-06-30,117,5.4,139,6.506983,75.25,1992,6,2,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,2.0,0.0,0.0,0.0,0,17.50439003707821,high,False,False,False,True,False,standard,False,True,False,False,q2,False,True,False,False,4.941642422609304,0,28,0
2074,Flirting with Disaster,7000000,14702438,1996-03-22,92,6.3,66,5.579088,110.03,1996,3,1,4,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,2.0,0.0,0.0,0.0,0,15.76142084987672,medium,False,False,True,False,False,standard,False,True,False,False,q2,False,True,False,False,4.204692619390966,0,24,0
11863,Jade,50000000,9851610,1995-10-13,95,5.1,45,11.418917,-80.3,1995,10,4,4,0,0,0,0,0,1,1,1,0,0,0,0,0,0,1,0,0,0,4.0,-83.53,2.0,4.0,0,17.72753358339242,high,False,False,False,True,False,standard,False,True,False,False,q3,False,False,True,False,3.828641396489095,0,25,0
11000,The Birdcage,31000000,185260553,1996-03-08,117,6.7,303,6.49968,497.61,1996,3,1,4,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,340.89557142857143,4.5,4.0,0,17.249497794707484,high,False,False,False,True,False,standard,False,True,False,False,q2,False,True,False,False,5.717027701406222,0,24,0
9737,Bad Boys,19000000,141407024,1995-04-07,118,6.5,1729,9.262184,644.25,1995,4,2,4,0,0,0,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,4.0,0.0,0.0,0.0,1,16.759949589762293,medium,False,False,True,False,False,standard,False,True,False,False,q3,False,False,True,False,7.455876687491824,0,25,0
22279,An Awfully Big Adventure,4000000,851545,1995-07-21,113,6.0,11,0.922958,-78.71,1995,7,3,4,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,3.0,0.0,0.0,0.0,0,15.201805169084134,low,False,True,False,False,False,standard,False,True,False,False,q1,True,False,False,False,2.4849066497880004,0,25,0
568,Apollo 13,52000000,355237933,1995-06-30,140,7.3,1637,18.761467,583.15,1995,6,2,4,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0.0,0.0,0.0,0,17.76675429577647,blockbuster,False,False,False,False,True,long,False,False,True,False,q4,False,False,False,True,7.401231264413015,1,25,0
11780,Rob Roy,28000000,31596911,1995-04-13,139,6.5,151,10.193549,12.85,1995,4,2,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1.0,0.0,0.0,0.0,0,17.147715103853763,high,False,False,False,True,False,long,False,False,True,False,q3,False,False,True,False,5.0238805208462765,0,25,0
414,Batman Forever,100000000,336529144,1995-06-16,121,5.2,1529,13.321354,236.53,1995,6,2,4,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,3.0,0.0,0.0,0.0,1,18.420680753952364,blockbuster,False,False,False,False,True,long,False,False,True,False,q4,False,False,False,True,7.333023014386481,0,25,0
5894,Blue in the Face,2000000,1275000,1995-09-15,83,6.8,28,11.528147,-36.25,1995,9,3,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0.0,0.0,0.0,1,14.508658238524095,low,False,True,False,False,False,short,True,False,False,False,q3,False,False,True,False,3.367295829986474,0,25,0
1775,Canadian Bacon,11000000,178104,1995-06-08,91,5.9,57,5.391556,-98.38,1995,6,2,3,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,2.0,0.0,0.0,0.0,0,16.213405921671733,medium,False,False,True,False,False,standard,False,True,False,False,q1,True,False,False,False,4.060443010546419,0,25,0
8839,Casper,50000000,287928194,1995-05-26,100,6.0,1045,12.812539,475.86,1995,5,2,4,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,3.0,0.0,0.0,0.0,0,17.72753358339242,high,False,False,False,True,False,standard,False,True,False,False,q4,False,False,False,True,6.952728644624869,0,25,0
20649,Clockers,25000000,13071518,1995-09-15,128,6.8,69,4.558992,-47.71,1995,9,3,4,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,3.0,0.0,0.0,0.0,0,17.034386422832473,high,False,False,False,True,False,long,False,False,True,False,q1,True,False,False,False,4.248495242049359,0,25,0
10329,Congo,50000000,152022101,1995-06-09,109,5.0,214,7.260574,204.04,1995,6,2,4,1,0,0,1,0,1,0,1,0,0,0,1,1,0,1,0,0,0,6.0,0.0,0.0,0.0,0,17.72753358339242,high,False,False,False,True,False,standard,False,True,False,False,q2,False,True,False,False,5.3706380281276624,0,25,0
8963,Crimson Tide,53000000,157387195,1995-05-12,116,7.0,508,8.657365,196.96,1995,5,2,4,1,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,3.0,0.0,0.0,0.0,0,17.78580249038432,blockbuster,False,False,False,False,True,standard,False,True,False,False,q3,False,False,True,False,6.2324480165505225,1,25,0
8068,Desperado,7000000,25405445,1995-08-25,104,6.8,898,6.950458,262.93,1995,8,3,4,1,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,3.0,0.0,0.0,0.0,1,15.76142084987672,medium,False,False,True,False,False,standard,False,True,False,False,q2,False,True,False,False,6.80128303447162,0,25,0
9560,A Walk in the Clouds,20000000,50012507,1995-08-11,103,6.5,168,9.715639,150.06,1995,8,3,4,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2.0,121.486,5.0,4.0,0,16.811242881518265,medium,False,False,True,False,False,standard,False,True,False,False,q3,False,False,True,False,5.1298987149230735,0,25,0
8512,Devil in a Blue Dress,27000000,16140822,1995-09-15,102,6.3,88,4.646132,-40.22,1995,9,3,4,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,3.0,0.0,0.0,0.0,0,17.11134746100564,high,False,False,False,True,False,standard,False,True,False,False,q1,True,False,False,False,4.48863636973214,0,25,0
1572,Die Hard: With a Vengeance,90000000,366101666,1995-05-19,128,6.9,2094,15.138855,306.78,1995,5,2,4,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,2.0,151.5113888888889,7.0,4.0,1,18.31532023940565,blockbuster,False,False,False,False,True,long,False,False,True,False,q4,False,False,False,True,7.647308832356238,0,25,0
6520,First Knight,55000000,127600435,1995-07-07,134,5.9,319,15.178338,132.0,1995,7,3,4,1,0,0,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,4.0,0.0,0.0,0.0,0,17.822843761378564,blockbuster,False,False,False,False,True,long,False,False,True,False,q4,False,False,False,True,5.768320995793772,0,25,0
10428,Hackers,20000000,7563728,1995-09-14,107,6.2,406,14.810519,-62.18,1995,9,3,3,0,0,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,4.0,0.0,0.0,0.0,0,16.811242881518265,medium,False,False,True,False,False,standard,False,True,False,False,q4,False,False,False,True,6.008813185442595,0,25,0
9886,Johnny Mnemonic,25000000,19075720,1995-05-26,97,5.5,380,11.715868,-23.7,1995,5,2,4,1,0,0,1,0,1,0,1,0,0,0,1,1,0,0,0,0,0,5.0,0.0,0.0,0.0,0,17.034386422832473,high,False,False,False,True,False,standard,False,True,False,False,q3,False,False,True,False,5.942799375126701,0,25,0
9482,Judge Dredd,90000000,113493481,1995-06-30,96,5.4,643,8.184815,26.1,1995,6,2,4,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1.0,0.0,0.0,0.0,0,18.31532023940565,blockbuster,False,False,False,False,True,standard,False,True,False,False,q2,False,True,False,False,6.467698726104354,0,25,0
9344,Kids,1500000,7412216,1995-07-28,91,6.8,280,4.877872,394.15,1995,7,3,4,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2.0,0.0,0.0,0.0,0,14.220976332738882,low,False,True,False,False,False,standard,False,True,False,False,q1,True,False,False,False,5.638354669333745,0,25,0
9071,Living in Oblivion,500000,1148752,1995-01-20,89,7.2,64,10.058329,129.75,1995,1,1,4,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2.0,0.0,0.0,0.0,0,13.122365377402328,micro,True,False,False,False,False,short,True,False,False,False,q3,False,False,True,False,4.174387269895637,1,25,0
522,Ed Wood,18000000,5887457,1994-09-27,127,7.3,639,11.720358,-67.29,1994,9,3,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3.0,0.0,0.0,0.0,0,16.705882371415992,medium,False,False,True,False,False,long,False,False,True,False,q3,False,False,True,False,6.461468176353717,1,26,0
2293,Mallrats,6000000,2122561,1995-10-20,94,6.8,400,8.25547,-64.62,1995,10,4,4,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,2.0,0.0,0.0,0.0,0,15.607270193858982,medium,False,False,True,False,False,standard,False,True,False,False,q2,False,True,False,False,5.993961427306569,0,25,0
9070,Mighty Morphin Power Rangers: The Movie,15000000,66000000,1995-06-30,92,5.2,153,7.024227,340.0,1995,6,2,4,1,0,0,0,0,0,0,1,0,0,0,1,1,1,0,1,0,0,5.0,0.0,0.0,0.0,1,16.52356082573315,medium,False,False,True,False,False,standard,False,True,False,False,q2,False,True,False,False,5.0369526024136295,0,25,0
48787,Mute Witness,2,1,1995-09-28,95,6.4,36,2.466066,-50.0,1995,9,3,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,2.0,0.0,0.0,4.0,0,1.0986122886681098,micro,True,False,False,False,False,standard,False,True,False,False,q1,True,False,False,False,3.610917912644224,0,25,0
1642,The Net,22000000,110627965,1995-07-28,114,5.6,359,13.304342,402.85,1995,7,3,4,1,0,0,1,0,1,0,1,0,1,0,0,0,0,1,0,0,0,5.0,0.0,0.0,0.0,1,16.906553056777135,high,False,False,False,True,False,standard,False,True,False,False,q4,False,False,False,True,5.886104031450156,0,25,0
36196,Party Girl,150000,472370,1995-06-09,94,5.8,14,1.165039,214.91,1995,6,2,4,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0.0,0.0,0.0,0,11.918397239722838,micro,True,False,False,False,False,standard,False,True,False,False,q1,True,False,False,False,2.70805020110221,0,25,0
11980,The Prophecy,8,16,1995-09-01,98,6.4,139,10.187623,100.0,1995,9,3,4,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,3.0,0.0,0.0,0.0,0,2.19722457733622,micro,True,False,False,False,False,standard,False,True,False,False,q3,False,False,True,False,4.941642422609304,0,25,0
10533,The Scarlet Letter,50000000,10382407,1995-10-13,135,5.5,111,6.752119,-79.24,1995,10,4,4,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3.0,0.0,0.0,0.0,0,17.72753358339242,high,False,False,False,True,False,long,False,False,True,False,q2,False,True,False,False,4.718498871295094,0,25,0
